,Date,Description,Debit Amt,Credit Amt,Balance
0,01-08-2024,Salary Credit XYZ Pvt Ltd,1935.3,,6864.58
1,02-08-2024,Salary Credit XYZ Pvt Ltd,,1652.61,8517.19
2,03-08-2024,IMPS UPI Payment Amazon,3886.08,,4631.11
3,03-08-2024,Mobile Recharge Via UPI,,1648.72,6279.83
4,14-08-2024,Fuel Purchase Debit Card,,3878.57,10158.4
5,17-08-2024,Electricity Bill NEFT Online,,1963.11,12121.51
6,18-08-2024,Interest Credit Saving Account,596.72,,11524.79
7,25-08-2024,Cheque Deposit Local Clearing,617.86,,10906.93
8,27-08-2024,Fuel Purchase Debit Card,,2650.96,13557.89
9,01-09-2024,Dining Out Card Swipe,,656.42,14214.31
10,08-09-2024,Mobile Recharge Via UPI,4150.96,,10063.35
11,12-09-2024,Cheque Deposit Local Clearing,,826.71,10890.06
12,16-09-2024,Fuel Purchase Debit Card,,3148.44,14038.5
13,16-09-2024,Credit Card Payment ICICI,1629.34,,12409.16
14,20-09-2024,NEFT Transfer To ABC Ltd,,4275.77,16684.93
15,25-09-2024,Salary Credit XYZ Pvt Ltd,,2507.17,19192.1
16,26-09-2024,IMPS UPI Payment Amazon,,740.64,19932.74
17,03-10-2024,EMI Auto Debit HDFC Bank,,2516.44,22449.18
18,06-10-2024,Utility Bill Payment Electricity,4208.51,,18240.67
19,07-10-2024,Service Charge GST Debit,,3593.89,21834.56
20,09-10-2024,Cash Deposit Branch Counter,,3215.04,25049.6
21,12-10-2024,IMPS UPI Payment Amazon,,4098.72,29148.32
22,15-10-2024,UPI QR Payment Groceries,3713.69,,25434.63
23,22-10-2024,Salary Credit XYZ Pvt Ltd,4182.2,,21252.43
24,23-10-2024,UPI QR Payment Groceries,3615.84,,17636.59
25,26-10-2024,EMI Auto Debit HDFC Bank,1006.21,,16630.38
26,04-11-2024,Service Charge GST Debit,756.93,,15873.45
27,04-11-2024,Cash Deposit Branch Counter,,622.18,16495.63
28,06-11-2024,Cash Deposit Branch Counter,3777.56,,12718.07
29,07-11-2024,Fuel Purchase Debit Card,2986.0,,9732.07
30,11-11-2024,UPI QR Payment Groceries,,3116.44,12848.51
31,14-11-2024,Utility Bill Payment Electricity,320.12,,12528.39
32,14-11-2024,Electricity Bill NEFT Online,,3079.38,15607.77
33,19-11-2024,NEFT Transfer To ABC Ltd,4925.74,,10682.03
34,21-11-2024,Cheque Deposit Local Clearing,,515.93,11197.96
35,26-11-2024,Fuel Purchase Debit Card,,4319.32,15517.28
36,01-12-2024,Fuel Purchase Debit Card,,821.75,16339.03
37,04-12-2024,Cheque Deposit Local Clearing,2939.04,,13399.99
38,07-12-2024,Dining Out Card Swipe,,2177.58,15577.57
39,13-12-2024,Cash Deposit Branch Counter,1210.14,,14367.43
40,17-12-2024,IMPS UPI Payment Amazon,,1683.84,16051.27
41,18-12-2024,Cash Deposit Branch Counter,4706.8,,11344.47
42,24-12-2024,Cheque Deposit Local Clearing,,1359.0,12703.47
43,27-12-2024,NEFT Transfer From PQR Pvt,4678.02,,8025.45
44,01-01-2025,UPI QR Payment Groceries,,2447.81,10473.26
45,05-01-2025,UPI QR Payment Groceries,270.87,,10202.39
46,15-01-2025,NEFT Transfer From PQR Pvt,3782.46,,6419.93
47,23-01-2025,Credit Card Payment ICICI,,426.36,6846.29
48,27-01-2025,Service Charge GST Debit,4332.26,,2514.03
49,27-01-2025,Fuel Purchase Debit Card,,1533.65,4047.68
